,Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,locc_,book_url
18835,18906,Text,2006-07-25,"History of English Humour, Vol. 2",en,"L'Estrange, A. G. K. (Alfred Guy Kingan), 1832-1915",English wit and humor -- History and criticism; Wit and humor -- History and criticism,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/9/0/18906/18906.txt
18838,18909,Text,2006-07-26,"Poems Teachers Ask For
Selected by readers of ""Normal Instructor-Primary Plans""",en,Various,"English poetry; American poetry; Children's poetry, English; Children's poetry, American; English poetry -- Collections; American poetry -- Collections",PR; PS,Children's Instructional Books,"['PR', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/9/0/18909/18909.txt
18844,18915,Text,2006-07-26,"The Poetical Works of William Lisle Bowles, Vol. 1
With Memoir, Critical Dissertation, and Explanatory Notes by George Gilfillan",en,"Bowles, William Lisle, 1762-1850; Gilfillan, George, 1813-1878 [Editor]",English poetry,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/9/1/18915/18915-0.txt
18846,18917,Text,2006-07-27,"Goldsmith
English Men of Letters Series",en,"Black, William, 1841-1898","Goldsmith, Oliver, 1730?-1774; Authors, Irish -- 18th century -- Biography",PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/9/1/18917/18917.txt
18856,18927,Text,2006-07-28,The Uttermost Farthing,en,"Lowndes, Marie Belloc, 1868-1947",Man-woman relationships -- Fiction; Americans -- France -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/9/2/18927/18927.txt
18863,18934,Text,2006-07-29,My Lady Nicotine: A Study in Smoke,en,"Barrie, J. M. (James Matthew), 1860-1937; Prendergast, Maurice, 1858-1924 [Illustrator]","Wit and humor, Pictorial; Smoking -- Anecdotes; Tobacco -- Anecdotes",PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/9/3/18934/18934-0.txt
18886,18957,Text,2006-07-31,Strangers at Lisconnel,en,"Barlow, Jane, 1856-1917",Ireland -- Social life and customs -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/9/5/18957/18957.txt
18898,18969,Text,2006-08-02,Platform Monologues,en,"Tucker, T. G. (Thomas George), 1859-1946",Literature -- History and criticism,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/9/6/18969/18969.txt
18899,18970,Text,2006-08-02,Caves of Terror,en,"Mundy, Talbot, 1879-1940",India -- Fiction,PR,Adventure,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/9/7/18970/18970.txt
18917,18988,Text,2006-08-04,The first of April;,en,"Combe, William, 1742-1823",English poetry -- 18th century,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/9/8/18988/18988.txt
18920,18991,Text,2006-08-05,The Late Miss Hollingford,en,"Gilbert, Rosa M. (Rosa Mulholland), 1841-1921",Ireland -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/8/9/9/18991/18991.txt
18931,19002,Text,2006-08-07,"Alice's Adventures Under Ground
Being a facsimile of the original Ms. book afterwards developed into ""Alice's Adventures in Wonderland""",en,"Carroll, Lewis, 1832-1898",Fantasy fiction; Children's stories; Imaginary places -- Juvenile fiction; Alice (Fictitious character from Carroll) -- Juvenile fiction,PR; PZ,Children's Literature,"['PR', 'PZ']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/0/0/19002/19002-0.txt
18939,19010,Text,2006-08-08,"The Admirable Tinker
Child of the World",en,"Jepson, Edgar, 1863-1938",Fathers and sons -- Fiction; Boys -- Fiction; Adventure and adventurers -- Fiction; England -- Social life and customs -- Fiction; Aeronautics -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/0/1/19010/19010.txt
18940,19011,Text,2006-08-08,Charlotte Brontë and Her Circle,en,"Shorter, Clement King, 1857-1926","Brontë family; Authors, English -- 19th century -- Biography; Brontë, Charlotte, 1816-1855; Women and literature -- England -- History -- 19th century; Brontë, Charlotte, 1816-1855 -- Friends and associates",PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/0/1/19011/19011.txt
18946,19017,Text,2006-08-10,Tales of Destiny,en,"Mitchell, Edmund, 1861-1917",Short stories; India -- Fiction; Storytelling -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/0/1/19017/19017.txt
18949,19020,Text,2006-08-10,"The Danvers Jewels, and Sir Charles Danvers",en,"Cholmondeley, Mary, 1859-1925",Detective and mystery stories,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/0/2/19020/19020.txt
18957,19028,Text,2006-08-11,Irish Plays and Playwrights,en,"Weygandt, Cornelius, 1871-1957","Dramatists, Irish -- Biography; Theater -- Ireland -- Dublin -- History; English drama -- Irish authors -- History and criticism; Irish drama -- History and criticism",PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/0/2/19028/19028.txt
18962,19033,Text,2006-08-12,Alice's Adventures in Wonderland,en,"Carroll, Lewis, 1832-1898; Robinson, Gordon [Illustrator]",Fantasy fiction; Children's stories; Imaginary places -- Juvenile fiction; Alice (Fictitious character from Carroll) -- Juvenile fiction,PR; PZ,Children's Literature,"['PR', 'PZ']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/0/3/19033/19033.txt
18972,19043,Text,2006-08-14,The Terrible Twins,en,"Jepson, Edgar, 1863-1938; Booth, Hanson, 1885-1944 [Illustrator]",Twins -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/0/4/19043/19043-0.txt
18993,19064,Text,2006-08-16,The Triumph of John Kars: A Story of the Yukon,en,"Cullum, Ridgwell, 1867-1943",Yukon River Valley (Yukon and Alaska) -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/0/6/19064/19064.txt
18998,19069,Text,2006-08-17,The Silent House,en,"Hume, Fergus, 1859-1932","Detective and mystery stories; Murder -- Investigation -- Fiction; Pimlico (London, England) -- Fiction",PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/0/6/19069/19069.txt
18999,19070,Text,2006-08-17,Both Sides the Border: A Tale of Hotspur and Glendower,en,"Henty, G. A. (George Alfred), 1832-1902; Peacock, Ralph, 1868-1946 [Illustrator]",Historical fiction; Juvenile fiction; Welsh Borders (England and Wales) -- Fiction,PR; PZ,Children's Fiction; Historical Fiction,"['PR', 'PZ']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/0/7/19070/19070.txt
19014,19085,Text,2006-08-20,The Prelude to Adventure,en,"Walpole, Hugh, 1884-1941",Murderers -- Fiction; Murder -- Fiction; College students -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/0/8/19085/19085.txt
19023,19094,Text,2006-08-21,"Magic
A Fantastic Comedy",en,"Chesterton, G. K. (Gilbert Keith), 1874-1936",English drama (Comedy),PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/0/9/19094/19094.txt
19037,19108,Text,2006-08-23,The Golden Silence,en,"Williamson, A. M. (Alice Muriel), 1869-1933; Williamson, C. N. (Charles Norris), 1859-1920",Adventure stories; Man-woman relationships -- Fiction; Algeria -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/1/0/19108/19108.txt
19043,19114,Text,2006-08-25,Foe-Farrell,en,"Quiller-Couch, Arthur, 1863-1944",Hate -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/1/1/19114/19114.txt
19050,19121,Text,2006-08-25,Sword and Gown: A Novel,en,"Lawrence, George A. (George Alfred), 1827-1876",Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/1/2/19121/19121.txt
19071,19142,Text,2006-08-29,The Devil Doctor,en,"Rohmer, Sax, 1883-1959","Fu Manchu, Doctor (Fictitious character) -- Fiction",PR,Crime Fiction,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/1/4/19142/19142.txt
19083,19154,Text,2006-09-01,With Lee in Virginia: A Story of the American Civil War,en,"Henty, G. A. (George Alfred), 1832-1902","United States -- History -- Civil War, 1861-1865 -- Fiction; Lee, Robert E. (Robert Edward), 1807-1870 -- Fiction; Virginia -- History -- Civil War, 1861-1865 -- Fiction",PR; PZ,Children's Fiction; US Civil War,"['PR', 'PZ']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/1/5/19154/19154.txt
19091,19162,Text,2006-09-02,The Lost Valley,en,"Walsh, J. M. (James Morgan), 1897-1952",Victoria -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/1/6/19162/19162.txt
19104,19175,Text,2006-09-04,A Little Rebel: A Novel,en,"Duchess, 1855?-1897",Young women -- Fiction; Guardian and ward -- Fiction; Older men -- Fiction,PR,,['PR'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/1/9/1/7/19175/19175.txt
