,Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,locc_,book_url
2637,2674,Text,2001-06-01,The Complete Writings of Charles Dudley Warner — Volume 4,en,"Warner, Charles Dudley, 1829-1900","Autobiographies; Virginia -- Description and travel; North Carolina -- Description and travel; Tennessee -- Description and travel; Mexico -- Description and travel; Boys -- Biography; Warner, Charles Dudley, 1829-1900 -- Travel -- Southern States; Appalachian Region -- Description and travel; Warner, Charles Dudley, 1829-1900 -- Travel -- Appalachian Region; Warner, Charles Dudley, 1829-1900 -- Travel -- Mexico",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/7/2674/2674.txt
2639,2676,Text,2006-05-25,"The Bell-Ringer of Angel's, and Other Stories",en,"Harte, Bret, 1836-1902",Short stories; Western stories; American fiction -- 19th century,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/7/2676/2676.txt
2641,2678,Text,2001-06-01,"Poems by Emily Dickinson, Series One",en,"Dickinson, Emily, 1830-1886; Higginson, Thomas Wentworth, 1823-1911 [Editor]; Todd, Mabel Loomis, 1856-1932 [Editor]",American poetry,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/7/2678/2678-0.txt
2642,2679,Text,2001-06-01,"Poems by Emily Dickinson, Series Two",en,"Dickinson, Emily, 1830-1886; Higginson, Thomas Wentworth, 1823-1911 [Editor]; Todd, Mabel Loomis, 1856-1932 [Editor]",American poetry,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/7/2679/2679.txt
2648,2685,Text,2001-06-01,The Way to Peace,en,"Deland, Margaret Wade Campbell, 1857-1945",Shakers -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/8/2685/2685.txt
2652,2689,Text,2004-09-29,Over the Teacups,en,"Holmes, Oliver Wendell, 1809-1894","American wit and humor; Literature, Modern",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/8/2689/2689-0.txt
2655,2692,Text,2006-05-25,"A Protegee of Jack Hamlin's, and Other Stories",en,"Harte, Bret, 1836-1902",Short stories; Western stories; American fiction -- 19th century,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/9/2692/2692.txt
2656,2693,Text,2001-07-01,Greyfriars Bobby,en,"Atkinson, Eleanor, 1863-1942",Dogs -- Fiction; Scotland -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/9/2693/2693.txt
2657,2694,Text,2001-07-01,I and My Chimney,en,"Melville, Herman, 1819-1891",Family life -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/9/2694/2694-0.txt
2658,2695,Text,2006-05-25,Jeff Briggs's Love Story,en,"Harte, Bret, 1836-1902",Western stories; American fiction -- 19th century; California -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/9/2695/2695.txt
2659,2696,Text,2004-09-28,Elsie Venner,en,"Holmes, Oliver Wendell, 1809-1894",Didactic fiction; Paranormal fiction; Predestination -- Fiction; Birthmarks -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/9/2696/2696-0.txt
2660,2697,Text,2004-09-29,The Guardian Angel,en,"Holmes, Oliver Wendell, 1809-1894",Psychological fiction; Young women -- Fiction; Mentally ill -- Fiction; Mental illness -- Fiction; Psychotherapy patients -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/9/2697/2697-0.txt
2661,2698,Text,2004-09-29,A Mortal Antipathy,en,"Holmes, Oliver Wendell, 1809-1894",American fiction -- 19th century; Psychological fiction; Mentally ill -- Fiction; Mental illness -- Fiction; Psychotherapy patients -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/9/2698/2698-0.txt
2662,2699,Text,2004-09-28,"Pages from an Old Volume of Life; A Collection of Essays, 1857-1881",en,"Holmes, Oliver Wendell, 1809-1894",Essays,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/6/9/2699/2699-0.txt
2663,2700,Text,2004-09-29,"Medical Essays, 1842-1882",en,"Holmes, Oliver Wendell, 1809-1894","Medicine; Education, Medical -- Massachusetts -- 19th century; Homeopathy; Libraries, Medical -- Massachusetts -- 19th century",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/0/2700/2700-0.txt
2664,2701,Text,2001-07-01,"Moby Dick; Or, The Whale",en,"Melville, Herman, 1819-1891","Whaling -- Fiction; Sea stories; Psychological fiction; Ship captains -- Fiction; Adventure stories; Mentally ill -- Fiction; Ahab, Captain (Fictitious character) -- Fiction; Whales -- Fiction; Whaling ships -- Fiction",PS,Best Books Ever Listings,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/0/2701/2701-0.txt
2666,2703,Text,2006-05-25,The Argonauts of North Liberty,en,"Harte, Bret, 1836-1902",American fiction -- 19th century; Frontier and pioneer life -- California -- Fiction; California -- History -- 1846-1850 -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/0/2703/2703.txt
2668,2705,Text,2006-05-25,Sally Dows,en,"Harte, Bret, 1836-1902",Western stories; American fiction -- 19th century,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/0/2705/2705.txt
2674,2711,Text,2006-05-25,A Phyllis of the Sierras,en,"Harte, Bret, 1836-1902",American fiction -- 19th century; Sierra Nevada (Calif. and Nev.) -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/1/2711/2711.txt
2675,2712,Text,2006-05-25,A Drift from Redwood Camp,en,"Harte, Bret, 1836-1902",Western stories; American fiction -- 19th century; California -- Social life and customs -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/1/2712/2712.txt
2677,2714,Text,2001-07-01,Long Live the King!,en,"Rinehart, Mary Roberts, 1876-1958",Adventure stories; Europe -- Fiction; Princes -- Fiction; American fiction -- 20th century,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/1/2714/2714.txt
2678,2715,Text,2001-07-01,The Real Thing and Other Tales,en,"James, Henry, 1843-1916",Short stories; Married people -- Fiction; Great Britain -- Social life and customs -- 19th century -- Fiction; Social classes -- Fiction; Artists -- Fiction; Artists' models -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/1/2715/2715-0.txt
2679,2716,Text,2001-07-01,Sir Dominick Ferrand,en,"James, Henry, 1843-1916",Authors -- Fiction; Boardinghouses -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/1/2716/2716-0.txt
2680,2717,Text,2001-07-01,Nona Vincent,en,"James, Henry, 1843-1916",London (England) -- Social life and customs -- 19th century -- Fiction; Dramatists -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/1/2717/2717-0.txt
